Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
45.0,Master's,3.0,Manufacturing,Operator,Small,Mid,49,52,67,Medium,2,11.0,22,16.0,Medium
25.0,Bachelor's,4.0,Education,Teacher,Medium,Entry,26,85,91,Low,1,4.0,24,4.0,Low
50.0,Master's,0.0,Education,Research Assistant,Small,Entry,73,12,21,Medium,5,7.0,51,8.0,High
44.0,Bachelor's,7.0,Manufacturing,Production Supervisor,Medium,Mid,65,44,57,Medium,3,12.0,64,12.0,High
25.0,Bachelor's,4.0,Logistics,Supply Chain Analyst,Large,Mid,85,6,50,Medium,4,13.0,55,28.0,High
39.0,Master's,14.0,Manufacturing,Operator,Small,Entry,66,47,51,Low,0,1.0,31,6.0,High
39.0,High School,1.0,Retail,Inventory Analyst,Large,Entry,74,20,49,Medium,2,13.0,43,29.0,High
53.0,Bachelor's,8.0,Finance,Accountant,Medium,Entry,22,63,20,Low,2,4.0,12,0.0,Medium
46.0,Bachelor's,6.0,Healthcare,Nurse,Small,Mid,89,0,85,High,5,28.0,78,62.0,High
29.0,Bachelor's,7.0,Logistics,Dispatcher,Medium,Mid,27,65,51,Low,2,3.0,21,3.0,Low
44.0,High School,1.0,Finance,  Accountant  ,Large,Mid,79,9,76,Medium,2,14.0,56,17.0,High
38.0,High School,4.0,Manufacturing,Production Supervisor,Large,Senior,11,98,21,Low,1,1.0,6,7.0,Low
23.0,Bachelor's,2.0,Finance,Auditor,Small,Mid,19,85,91,Low,2,1.0,13,4.0,Low
40.0,High School,3.0,Education,Academic Coordinator,Large,Entry,16,83,43,Low,2,0.0,14,0.0,Low
37.0,Bachelor's,0.0,Telecom,Support Specialist,Medium,Entry,32,62,68,Low,2,3.0,16,9.0,Medium
22.0,Bachelor's,1.0,Finance,Accountant,Small,Mid,20,93,68,Low,2,1.0,14,0.0,Low
58.0,PhD,6.0,Healthcare,Medical Assistant,Medium,Mid,28,90,21,Low,0,5.0,19,6.0,Low
31.0,Bachelor's,2.0,Healthcare,Nurse,Medium,Entry,52,39,78,Low,1,4.0,51,2.0,High
43.0,Master's,17.0,Healthcare,Nurse,Large,Entry,17,65,96,Low,0,1.0,13,4.0,Low
44.0,Bachelor's,2.0,Finance,Auditor,Medium,Entry,21,89,94,Low,2,5.0,18,9.0,Low
25.0,Bachelor's,4.0,IT,Data Analyst,Medium,Senior,40,61,23,Low,1,,35,2.0,Low
45.0,Bachelor's,14.0,Manufacturing,Production Supervisor,Small,Senior,31,64,70,Low,2,1.0,27,2.0,Low
40.0,High School,8.0,Manufacturing,Production Supervisor,Medium,Mid,55,46,69,Medium,4,10.0,41,28.0,High
31.0,Bachelor's,9.0,Education,Academic Coordinator,Medium,Entry,51,58,48,Medium,5,14.0,35,10.0,Medium
37.0,High School,5.0,Manufacturing,Operator,Small,Entry,91,20,84,High,10,28.0,60,57.0,High
44.0,High School,6.0,IT,Data Analyst,Large,Senior,29,72,75,Low,2,4.0,27,6.0,Low
33.0,Bachelor's,5.0,Logistics,Warehouse Manager,Small,Mid,88,17,42,Medium,3,6.0,50,27.0,High
33.0,Bachelor's,1.0,Healthcare,Nurse,Large,Mid,19,84,80,Low,1,1.0,10,8.0,Low
57.0,Master's,9.0,Finance,Accountant,Medium,Entry,87,0,76,High,5,27.0,62,52.0,High
35.0,Bachelor's,3.0,Logistics,Dispatcher,Medium,Entry,78,19,43,Low,1,1.0,45,6.0,High
45.0,Master's,5.0,Finance,Accountant,Large,Mid,66,40,44,Medium,3,6.0,44,24.0,Medium
47.0,Master's,9.0,Retail,Store Manager,Large,Senior,73,1,84,Medium,4,8.0,55,21.0,Medium
43.0,Bachelor's,3.0,Manufacturing,Production Supervisor,Medium,Entry,25,76,62,Low,1,0.0,17,3.0,Medium
34.0,Master's,12.0,Logistics,Dispatcher,Medium,Mid,81,33,58,Medium,4,12.0,63,18.0,High
32.0,Master's,11.0,Retail,Sales Associate,Medium,Mid,20,89,56,Low,0,3.0,14,0.0,Low
51.0,High School,13.0,Healthcare,Nurse,Medium,Entry,21,75,70,Low,2,5.0,18,9.0,Low
48.0,Bachelor's,13.0,Healthcare,Medical Assistant,Large,Entry,66,22,79,Medium,2,7.0,44,11.0,Medium
26.0,Bachelor's,5.0,Healthcare,Health Analyst,Small,Mid,35,84,34,Low,2,5.0,30,5.0,Low
31.0,High School,10.0,Telecom,Network Engineer,Medium,Senior,29,63,74,Low,2,5.0,19,7.0,Low
58.0,PhD,6.0,Retail,Store Manager,Small,Entry,83,25,86,Medium,3,5.0,76,21.0,High
50.0,High School,3.0,Manufacturing,Operator,Small,Entry,88,20,70,Medium,5,9.0,49,5.0,High
48.0,Bachelor's,3.0,Telecom,Network Engineer,Small,Entry,40,51,92,Low,2,1.0,36,0.0,Medium
37.0,Master's,4.0,Education,Research Assistant,Large,Mid,33,76,87,Low,1,0.0,22,0.0,Low
51.0,Bachelor's,17.0,Healthcare,Nurse,Medium,Mid,66,38,72,Medium,2,12.0,40,16.0,Medium
38.0,Master's,8.0,  Healthcare  ,Medical Assistant,Large,Entry,90,5,52,Medium,5,14.0,42,8.0,High
21.0,Master's,0.0,Retail,Sales Associate,Large,Mid,82,18,34,Medium,4,13.0,63,18.0,High
41.0,Master's,1.0,Retail,Store Manager,Medium,Entry,65,25,79,Medium,5,7.0,58,12.0,High
25.0,High School,2.0,Manufacturing,Production Supervisor,Medium,Mid,21,65,65,Low,0,2.0,10,8.0,Medium
28.0,Master's,7.0,Retail,Store Manager,Medium,Mid,94,12,88,Medium,5,6.0,87,17.0,High
32.0,Bachelor's,2.0,Education,Research Assistant,Small,Entry,35,57,45,Low,0,4.0,18,4.0,Medium
36.0,PhD,12.0,Education,Academic Coordinator,Small,Mid,33,63,75,Low,2,0.0,32,2.0,Low
27.0,High School,6.0,Education,Research Assistant,Small,Mid,35,70,28,Low,2,5.0,32,6.0,Low
36.0,Bachelor's,0.0,Logistics,Warehouse Manager,Medium,Entry,83,22,47,Medium,2,10.0,69,12.0,High
21.0,High School,0.0,Retail,Sales Associate,Medium,Entry,16,98,26,Low,1,3.0,11,6.0,Medium
49.0,Master's,10.0,IT,ML Engineer,Medium,Senior,30,73,28,Low,1,2.0,29,5.0,Low
28.0,Bachelor's,7.0,Retail,Store Manager,Small,Entry,92,5,86,Medium,2,13.0,59,13.0,High
54.0,Bachelor's,,Finance,Financial Analyst,Small,Entry,21,81,25,Low,1,3.0,12,3.0,Medium
30.0,Master's,9.0,Telecom,Operations Analyst,Large,Mid,94,17,43,High,9,24.0,66,40.0,High
31.0,Master's,10.0,Logistics,Dispatcher,Small,Entry,50,51,76,Low,0,2.0,43,8.0,Medium
22.0,Bachelor's,1.0,Retail,Inventory Analyst,Medium,Mid,38,71,44,Low,0,0.0,18,0.0,Medium
36.0,Bachelor's,10.0,IT,Data Analyst,Small,Entry,37,61,53,Low,1,,35,7.0,Medium
29.0,High School,8.0,Manufacturing,Production Supervisor,Medium,Entry,33,46,21,Low,2,2.0,29,1.0,High
59.0,High School,6.0,Telecom,Support Specialist,Large,Mid,48,53,91,Medium,2,9.0,36,6.0,Medium
27.0,Bachelor's,6.0,Retail,Sales Associate,Small,Mid,73,30,58,Medium,2,7.0,66,29.0,High
58.0,Master's,6.0,Healthcare,Medical Assistant,Medium,Mid,23,67,69,Low,0,5.0,22,0.0,Low
48.0,High School,4.0,IT,ML Engineer,Small,Entry,88,0,79,Medium,5,11.0,60,13.0,High
32.0,Bachelor's,1.0,Telecom,Network Engineer,Medium,Mid,86,11,26,Medium,2,7.0,51,21.0,High
59.0,Master's,6.0,IT,Software Engineer,Medium,Mid,13,85,22,Low,0,2.0,8,9.0,Low
29.0,Bachelor's,8.0,Telecom,Operations Analyst,Large,Senior,74,9,51,Medium,3,11.0,56,28.0,Medium
45.0,Bachelor's,16.0,Manufacturing,Operator,Medium,Senior,41,65,42,Low,0,3.0,21,3.0,Low
43.0,Bachelor's,3.0,Telecom,Operations Analyst,Medium,Mid,78,6,44,High,6,25.0,77,28.0,High
39.0,Master's,10.0,Finance,Auditor,Large,Mid,44,38,62,Low,2,0.0,25,2.0,Medium
42.0,Master's,3.0,IT,ML Engineer,Medium,Mid,70,27,54,Medium,3,6.0,41,9.0,Medium
25.0,Master's,4.0,Healthcare,Medical Assistant,Small,Mid,21,87,42,Low,0,0.0,10,7.0,Low
38.0,Master's,7.0,Telecom,Network Engineer,Small,Entry,54,33,87,Low,0,4.0,24,5.0,Medium
59.0,Master's,0.0,Telecom,Network Engineer,Medium,Entry,74,12,92,Medium,4,14.0,60,12.0,High
42.0,Bachelor's,7.0,Healthcare,Nurse,Medium,Entry,32,80,67,Low,2,4.0,28,9.0,Low
55.0,Master's,7.0,IT,Software Engineer,Large,Entry,34,77,34,Low,1,5.0,25,8.0,Low
56.0,Bachelor's,10.0,Finance,Auditor,Medium,Mid,23,70,65,Low,2,4.0,20,3.0,Low
31.0,PhD,10.0,Logistics,Dispatcher,Medium,Mid,81,42,44,High,7,20.0,48,63.0,Medium
35.0,Bachelor's,5.0,Retail,Sales Associate,Large,Entry,51,63,94,Medium,2,12.0,23,15.0,Medium
60.0,Master's,3.0,Healthcare,Medical Assistant,Medium,Entry,62,38,44,Low,2,2.0,31,3.0,Medium
43.0,Bachelor's,15.0,Retail,Store Manager,Medium,Mid,90,21,68,Medium,4,7.0,89,20.0,High
23.0,Bachelor's,2.0,Healthcare,Nurse,Medium,Entry,44,53,79,Low,1,4.0,36,3.0,Medium
52.0,PhD,16.0,Finance,Auditor,Medium,Mid,57,30,32,Medium,4,12.0,37,15.0,Medium
51.0,Master's,1.0,Manufacturing,Quality Engineer,Small,Mid,58,31,69,Medium,2,13.0,46,17.0,High
22.0,Bachelor's,1.0,Finance,Financial Analyst,Medium,Mid,42,52,84,Medium,4,5.0,26,6.0,Medium
23.0,Master's,2.0,Logistics,Dispatcher,Small,Mid,45,45,38,Low,0,0.0,35,6.0,Medium
40.0,High School,13.0,Healthcare,Health Analyst,Medium,Mid,61,36,35,Medium,4,8.0,28,27.0,Medium
30.0,Bachelor's,9.0,IT,Data Analyst,Medium,Mid,40,70,88,Low,0,3.0,32,2.0,Low
32.0,Master's,4.0,Manufacturing,Quality Engineer,Medium,Entry,19,93,35,Low,2,5.0,16,8.0,Low
35.0,High School,4.0,Finance,Accountant,Small,Mid,28,77,50,Low,0,2.0,16,8.0,Low
26.0,Bachelor's,5.0,Telecom,Operations Analyst,Medium,Mid,61,49,89,Medium,2,14.0,46,27.0,Medium
39.0,High School,1.0,IT,Data Analyst,Large,Entry,26,58,92,Low,2,3.0,25,4.0,Medium
37.0,Bachelor's,3.0,Telecom,Operations Analyst,Medium,Mid,44,59,78,Low,0,4.0,41,2.0,Medium
53.0,Bachelor's,11.0,Education,Research Assistant,Small,Entry,81,15,68,Medium,2,7.0,52,17.0,High
50.0,High School,14.0,Healthcare,Nurse,Small,Entry,27,57,72,Low,1,1.0,24,5.0,Medium
28.0,Bachelor's,7.0,Education,Academic Coordinator,Large,Senior,33,84,34,Low,1,3.0,27,8.0,Low
33.0,Bachelor's,12.0,Logistics,Dispatcher,Small,Entry,40,73,70,Low,2,1.0,27,7.0,Medium
50.0,PhD,17.0,Manufacturing,Operator,Medium,Entry,58,48,77,Medium,4,10.0,28,,Medium
40.0,Bachelor's,8.0,Education,Academic Coordinator,Medium,Mid,86,14,76,Medium,5,7.0,44,14.0,Medium
38.0,Bachelor's,4.0,Manufacturing,Quality Engineer,Medium,Mid,65,42,60,Medium,3,13.0,57,22.0,High
54.0,High School,13.0,Telecom,Support Specialist,Medium,Mid,78,18,58,Medium,4,10.0,62,12.0,High
40.0,Bachelor's,14.0,Education,Research Assistant,Large,Mid,27,77,43,Low,1,5.0,24,7.0,Low
39.0,Bachelor's,3.0,Retail,Sales Associate,Medium,Entry,74,24,94,Medium,2,5.0,70,19.0,High
54.0,Bachelor's,11.0,IT,Data Analyst,Small,N/A,54,25,38,Medium,3,12.0,24,6.0,Low
54.0,Master's,7.0,Retail,Inventory Analyst,Medium,Entry,42,53,75,Low,1,3.0,37,1.0,Medium
32.0,Bachelor's,9.0,Finance,Financial Analyst,Medium,Mid,27,71,73,Low,2,3.0,15,0.0,Low
42.0,PhD,21.0,Retail,Store Manager,Large,Senior,17,80,75,Low,1,2.0,9,7.0,Low
44.0,Bachelor's,12.0,Telecom,Operations Analyst,Medium,Senior,43,51,71,Low,0,2.0,30,2.0,Low
57.0,Bachelor's,8.0,Education,Research Assistant,Medium,Senior,44,55,44,Low,1,0.0,38,0.0,Low
29.0,Master's,8.0,Healthcare,Health Analyst,Small,Entry,63,27,51,Low,1,4.0,31,6.0,Medium
22.0,Bachelor's,1.0,IT,Data Analyst,Medium,Mid,12,79,77,Low,1,1.0,11,8.0,Low
47.0,Bachelor's,6.0,Finance,Accountant,Small,Mid,88,16,89,Medium,2,8.0,87,11.0,High
38.0,High School,9.0,IT,Data Analyst,Medium,Mid,15,78,70,Low,2,3.0,10,5.0,Low
40.0,Bachelor's,8.0,Logistics,Supply Chain Analyst,Large,Mid,43,48,77,Low,2,0.0,21,3.0,Medium
21.0,Master's,0.0,Telecom,Operations Analyst,Large,Entry,45,54,94,Medium,2,13.0,33,20.0,Medium
26.0,Master's,5.0,Logistics,Warehouse Manager,Large,Entry,24,78,55,Low,1,4.0,20,6.0,Low
51.0,Bachelor's,8.0,Healthcare,Health Analyst,Small,Senior,10,93,73,Low,1,5.0,4,6.0,Low
37.0,Bachelor's,12.0,IT,ML Engineer,Small,Mid,46,43,51,Low,0,3.0,38,7.0,Medium
25.0,Bachelor's,4.0,Telecom,Operations Analyst,Large,Mid,49,63,80,Low,0,5.0,22,6.0,Low
42.0,Bachelor's,1.0,Retail,Inventory Analyst,Large,Senior,39,51,93,Low,2,0.0,26,1.0,Low
41.0,Bachelor's,9.0,IT,Data Analyst,Medium,Senior,21,74,64,Low,1,3.0,20,6.0,Low
35.0,Master's,14.0,Healthcare,Health Analyst,Large,Senior,84,44,69,Medium,3,10.0,55,15.0,Low
44.0,Bachelor's,0.0,Logistics,Dispatcher,Small,Mid,18,68,35,Low,2,1.0,16,8.0,Medium
31.0,Bachelor's,3.0,Manufacturing,Quality Engineer,Large,Entry,82,27,55,Medium,4,9.0,63,15.0,High
57.0,Master's,5.0,Logistics,Warehouse Manager,Medium,Entry,22,73,56,Low,1,1.0,19,8.0,Low
52.0,Master's,9.0,Education,Teacher,Medium,Mid,53,35,65,Low,2,1.0,51,5.0,Medium
21.0,Bachelor's,0.0,Manufacturing,Production Supervisor,Medium,Entry,81,25,20,High,8,22.0,75,49.0,High
44.0,Bachelor's,7.0,Telecom,Network Engineer,Medium,Entry,71,39,54,Medium,4,13.0,42,16.0,High
38.0,Bachelor's,5.0,Manufacturing,Quality Engineer,Large,Senior,24,91,59,Low,1,2.0,17,4.0,Low
37.0,High School,2.0,IT,Data Analyst,Small,Entry,87,20,47,Medium,3,9.0,58,14.0,High
30.0,Bachelor's,9.0,Education,Academic Coordinator,Large,Entry,22,82,58,Low,1,4.0,16,9.0,Low
30.0,PhD,9.0,Finance,Financial Analyst,Small,Entry,10,89,74,Low,1,4.0,7,8.0,Low
53.0,PhD,12.0,Telecom,Operations Analyst,Large,Mid,50,39,41,Low,2,2.0,39,8.0,Medium
39.0,Master's,5.0,Finance,Accountant,Medium,Entry,65,44,92,Medium,2,9.0,39,10.0,Medium
40.0,Master's,4.0,Healthcare,Medical Assistant,Small,Senior,54,35,78,Low,0,1.0,37,7.0,Low
60.0,High School,4.0,Manufacturing,Operator,Medium,Entry,47,56,77,Low,0,2.0,40,6.0,High
30.0,Bachelor's,9.0,Telecom,Support Specialist,Small,Mid,76,27,83,Medium,4,6.0,53,16.0,High
40.0,High School,12.0,Healthcare,Health Analyst,Medium,Entry,74,28,34,Medium,5,13.0,51,22.0,High
46.0,Bachelor's,5.0,Healthcare,Medical Assistant,Large,Entry,24,73,73,Low,0,1.0,15,8.0,Low
27.0,Master's,3.0,IT,ML Engineer,Small,Entry,32,81,74,Low,2,2.0,26,0.0,Low
57.0,Master's,9.0,Retail,Sales Associate,Medium,Senior,41,52,66,Low,1,2.0,24,3.0,Low
32.0,Bachelor's,5.0,Education,Academic Coordinator,Small,Mid,36,56,88,Low,2,3.0,32,5.0,Low
39.0,Bachelor's,0.0,Logistics,Supply Chain Analyst,Medium,Senior,32,86,82,Low,1,3.0,26,4.0,Low
27.0,High School,6.0,IT,ML Engineer,Medium,Mid,27,76,39,Low,2,5.0,16,8.0,Low
37.0,Master's,0.0,Finance,Auditor,Small,Mid,60,55,69,Low,0,5.0,36,4.0,Medium
34.0,Master's,7.0,Healthcare,Medical Assistant,Medium,Entry,85,0,48,Medium,3,12.0,80,8.0,High
51.0,Bachelor's,12.0,Manufacturing,Production Supervisor,Medium,Entry,54,48,81,Medium,5,5.0,33,11.0,High
44.0,Bachelor's,7.0,Education,Teacher,Large,Mid,91,10,76,Medium,2,10.0,50,5.0,High
28.0,NULL,7.0,IT,Data Analyst,Small,Entry,67,23,30,Medium,5,11.0,43,16.0,Medium
48.0,Master's,13.0,Education,Teacher,Small,Entry,83,9,96,Medium,3,5.0,57,22.0,Medium
46.0,High School,12.0,Telecom,Network Engineer,Small,Mid,73,34,68,Medium,2,8.0,34,8.0,High
57.0,Master's,8.0,Finance,Financial Analyst,Large,Mid,72,22,64,Medium,5,11.0,46,29.0,Medium
21.0,Bachelor's,0.0,Manufacturing,Operator,Small,Mid,57,48,74,Low,2,5.0,51,1.0,High
36.0,Master's,12.0,Manufacturing,Operator,Small,Senior,33,84,29,Low,1,3.0,24,8.0,Low
31.0,Bachelor's,10.0,Logistics,Supply Chain Analyst,Medium,Mid,28,81,74,Low,2,3.0,26,6.0,Low
35.0,Bachelor's,8.0,Manufacturing,Production Supervisor,Small,Mid,88,0,36,High,6,20.0,81,34.0,High
35.0,Bachelor's,0.0,Logistics,Dispatcher,Medium,Senior,37,52,82,Low,1,2.0,22,1.0,Low
47.0,Bachelor's,10.0,Retail,Store Manager,Large,Senior,73,22,73,Medium,2,13.0,34,29.0,Medium
28.0,High School,7.0,Logistics,Warehouse Manager,Medium,Entry,73,8,82,Medium,5,13.0,33,27.0,High
54.0,Bachelor's,15.0,Retail,Sales Associate,Large,Mid,12,79,64,Low,1,0.0,7,8.0,Low
21.0,Bachelor's,0.0,Finance,Auditor,Small,Entry,89,20,75,Medium,5,13.0,73,17.0,High
28.0,Bachelor's,6.0,Logistics,Supply Chain Analyst,Large,Entry,28,58,48,Low,1,4.0,20,0.0,Medium
43.0,Bachelor's,3.0,Finance,Auditor,Small,Mid,59,50,61,Medium,2,5.0,28,22.0,Medium
58.0,Bachelor's,4.0,IT,Software Engineer,Large,Entry,64,31,94,Medium,2,6.0,31,23.0,Medium
41.0,Bachelor's,3.0,Retail,Sales Associate,Small,Entry,16,77,55,Low,1,0.0,15,2.0,Medium
54.0,High School,6.0,Healthcare,Health Analyst,Large,Entry,44,37,20,Low,1,1.0,23,7.0,Medium
42.0,Bachelor's,13.0,Manufacturing,Production Supervisor,Large,Mid,64,35,64,Low,1,3.0,32,8.0,High
23.0,Bachelor's,2.0,Healthcare,Nurse,Medium,Entry,55,40,78,Low,2,0.0,32,6.0,Medium
52.0,Bachelor's,9.0,Manufacturing,Operator,Medium,Entry,19,83,88,Low,2,5.0,8,4.0,Low
57.0,High School,3.0,Manufacturing,Operator,Large,Mid,89,10,67,Medium,2,9.0,59,12.0,High
52.0,Bachelor's,10.0,Logistics,Dispatcher,Medium,Mid,52,53,88,Medium,5,13.0,37,26.0,Medium
39.0,Master's,11.0,Finance,Auditor,Small,Mid,44,58,21,Low,0,4.0,28,9.0,Medium
29.0,Master's,8.0,Healthcare,Nurse,Large,Entry,45,60,87,Low,1,2.0,39,8.0,Low
39.0,Bachelor's,9.0,Telecom,Network Engineer,Small,Mid,53,41,70,Medium,5,6.0,27,20.0,Medium
42.0,Master's,8.0,Healthcare,Medical Assistant,Small,Entry,20,80,37,Low,1,0.0,10,5.0,Low
24.0,Bachelor's,3.0,Retail,Sales Associate,Medium,Mid,16,79,69,Low,1,4.0,11,8.0,Low
43.0,NULL,9.0,IT,ML Engineer,Large,Entry,87,14,63,Medium,2,14.0,67,15.0,High
46.0,Master's,7.0,Telecom,Support Specialist,Medium,Mid,65,26,27,Medium,2,11.0,50,25.0,Medium
38.0,Bachelor's,2.0,Manufacturing,Quality Engineer,Small,Entry,59,42,25,Medium,5,12.0,33,8.0,High
45.0,PhD,9.0,Manufacturing,Operator,Small,Entry,28,70,55,Low,0,5.0,18,3.0,Low
41.0,High School,2.0,Healthcare,Medical Assistant,Medium,Entry,20,79,37,Low,1,2.0,14,2.0,Medium
52.0,Master's,13.0,Manufacturing,Production Supervisor,Medium,Senior,83,14,55,Medium,2,6.0,53,29.0,Medium
41.0,Master's,13.0,Logistics,Warehouse Manager,Medium,Mid,44,61,70,Low,2,5.0,26,9.0,Low
39.0,High School,13.0,Logistics,Supply Chain Analyst,Small,Entry,76,42,83,Medium,2,14.0,65,12.0,High
32.0,High School,11.0,Logistics,Warehouse Manager,Large,Mid,73,14,27,Medium,5,12.0,66,14.0,High
44.0,Bachelor's,13.0,Finance,Auditor,Small,Entry,19,93,42,Low,2,2.0,18,7.0,Low
38.0,Master's,5.0,Healthcare,Medical Assistant,Small,Senior,46,57,34,Medium,5,13.0,36,22.0,Low
45.0,High School,0.0,Retail,Sales Associate,Medium,Senior,47,51,69,Medium,5,8.0,38,27.0,Medium
39.0,Bachelor's,8.0,Education,Academic Coordinator,Small,Entry,70,28,80,Medium,5,7.0,59,27.0,Medium
48.0,Bachelor's,9.0,Finance,Accountant,Large,Mid,82,21,60,Medium,4,10.0,65,11.0,High
55.0,High School,0.0,Telecom,Operations Analyst,Small,Senior,79,16,56,Medium,2,11.0,64,15.0,High
25.0,Master's,4.0,Healthcare,Medical Assistant,Large,Mid,89,22,46,Medium,5,12.0,84,16.0,High
29.0,Bachelor's,2.0,Manufacturing,Quality Engineer,Medium,Mid,27,80,91,Low,2,5.0,23,6.0,Medium
54.0,High School,12.0,IT,Data Analyst,Small,Mid,58,43,27,Medium,5,8.0,47,10.0,High
40.0,Bachelor's,11.0,Finance,Accountant,Small,Mid,78,31,65,Medium,5,12.0,77,5.0,High
49.0,Bachelor's,5.0,Telecom,Network Engineer,Large,Entry,30,67,86,Low,2,2.0,23,2.0,Low
39.0,Bachelor's,6.0,Finance,Financial Analyst,Small,Senior,11,97,63,Low,2,3.0,10,3.0,Low
39.0,Bachelor's,7.0,Logistics,Supply Chain Analyst,Medium,Senior,15,80,32,Low,1,1.0,9,8.0,Low
45.0,Bachelor's,2.0,Telecom,Operations Analyst,Small,Mid,67,34,53,High,7,21.0,59,40.0,High
57.0,Bachelor's,8.0,Healthcare,Medical Assistant,Large,Entry,83,1,91,Medium,4,9.0,60,10.0,High
49.0,Master's,12.0,Healthcare,Health Analyst,Large,Entry,63,17,32,Low,1,0.0,43,0.0,High
45.0,Bachelor's,9.0,Retail,Sales Associate,Medium,Mid,56,49,77,Medium,3,13.0,30,6.0,Medium
56.0,Bachelor's,9.0,Logistics,Supply Chain Analyst,Medium,Mid,21,56,85,Low,2,2.0,14,6.0,Low
49.0,Bachelor's,14.0,IT,Data Analyst,Small,Mid,66,7,70,Medium,4,12.0,43,9.0,Medium
40.0,Bachelor's,10.0,Logistics,Dispatcher,Medium,Mid,11,89,84,Low,1,2.0,9,7.0,Low
45.0,Bachelor's,8.0,Healthcare,Health Analyst,Medium,Entry,26,67,94,Low,0,1.0,11,0.0,Low
30.0,Master's,9.0,Logistics,Supply Chain Analyst,Large,Entry,42,57,27,Low,0,3.0,39,3.0,Medium
44.0,Bachelor's,7.0,Logistics,Warehouse Manager,Small,Entry,86,5,62,Medium,5,10.0,52,14.0,High
54.0,PhD,11.0,Manufacturing,Quality Engineer,Medium,Mid,14,99,78,Low,1,2.0,13,9.0,Low
30.0,High School,8.0,Healthcare,Health Analyst,Medium,Mid,92,0,21,Medium,5,13.0,72,23.0,High
30.0,Bachelor's,4.0,Manufacturing,Production Supervisor,Small,Senior,20,62,79,Low,0,2.0,9,7.0,Low
24.0,PhD,3.0,Education,Teacher,Medium,Mid,26,83,84,Low,2,3.0,12,5.0,Low
55.0,Master's,9.0,Finance,Accountant,Medium,Entry,66,36,70,Medium,3,9.0,64,14.0,High
52.0,Master's,6.0,Retail,Inventory Analyst,Medium,Mid,17,86,74,Low,0,3.0,10,2.0,Low
52.0,PhD,15.0,Telecom,Support Specialist,Large,Mid,59,41,72,Low,1,3.0,50,6.0,Medium
57.0,Bachelor's,11.0,Education,Research Assistant,Small,Mid,36,62,32,Low,2,5.0,24,4.0,Low
31.0,Bachelor's,10.0,Retail,Store Manager,Medium,Senior,20,99,72,Low,2,1.0,17,4.0,Low
27.0,PhD,6.0,Telecom,Operations Analyst,Large,Entry,54,38,55,Low,2,5.0,35,5.0,Medium
45.0,Bachelor's,10.0,Finance,Accountant,Small,Entry,64,38,31,Medium,5,9.0,59,14.0,High
37.0,High School,13.0,Education,Academic Coordinator,Small,Mid,46,38,27,Medium,2,9.0,32,14.0,Medium
33.0,Master's,12.0,IT,ML Engineer,Medium,Mid,41,52,61,Low,1,3.0,18,8.0,Low
37.0,High School,5.0,Healthcare,Medical Assistant,Medium,Entry,63,41,58,Medium,3,14.0,42,16.0,High
60.0,PhD,9.0,Healthcare,Medical Assistant,Medium,Mid,31,69,43,Medium,2,5.0,20,27.0,Low
29.0,PhD,5.0,IT,ML Engineer,Large,Entry,74,24,33,Medium,3,14.0,39,20.0,Medium
47.0,Master's,5.0,Telecom,Network Engineer,Small,Entry,31,71,45,Low,2,2.0,14,5.0,Low
34.0,Bachelor's,0.0,Manufacturing,Operator,Large,Mid,14,100,87,Low,1,3.0,13,2.0,Low
34.0,Bachelor's,13.0,Logistics,Warehouse Manager,Large,Mid,69,27,59,Medium,4,12.0,35,28.0,Medium
50.0,High School,6.0,Telecom,Support Specialist,Medium,Mid,14,100,50,Low,0,4.0,12,6.0,Low
47.0,PhD,5.0,Education,Research Assistant,Large,Mid,63,24,52,Medium,4,8.0,42,5.0,Medium
56.0,Master's,12.0,Finance,Auditor,Large,Entry,54,51,33,Medium,2,8.0,34,22.0,Medium
30.0,Bachelor's,9.0,Education,Teacher,Medium,Mid,68,33,86,Medium,2,8.0,40,9.0,Medium
24.0,High School,3.0,Healthcare,Health Analyst,Medium,Entry,66,14,23,Medium,3,5.0,63,5.0,High
35.0,Bachelor's,13.0,Finance,Accountant,Medium,Entry,93,25,65,High,8,29.0,92,54.0,High
37.0,Bachelor's,4.0,Manufacturing,Production Supervisor,Large,Senior,79,9,38,Medium,2,13.0,54,26.0,High
43.0,PhD,2.0,Telecom,Support Specialist,Large,Mid,81,7,70,High,7,16.0,45,36.0,High
38.0,Bachelor's,9.0,Education,Teacher,Small,Entry,22,89,96,Low,1,2.0,11,2.0,Low
22.0,Master's,1.0,Manufacturing,Operator,Medium,Entry,82,14,70,Medium,4,12.0,72,15.0,High
47.0,High School,1.0,Manufacturing,Operator,Small,Entry,83,18,31,Medium,5,11.0,60,18.0,High
41.0,Bachelor's,9.0,Education,Research Assistant,Medium,Mid,16,96,64,Low,1,5.0,9,4.0,Low
29.0,High School,8.0,Telecom,Support Specialist,Medium,Mid,39,61,26,Low,2,5.0,34,5.0,Medium
37.0,Master's,9.0,Education,Research Assistant,Medium,Mid,78,24,45,Medium,4,12.0,55,16.0,Medium
